,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
30090,Dilārpur,Dilarpur,25.3968,87.5969,India,IN,IND,Bihār,,15429.0,1356946822
30092,Nedumudi,Nedumudi,9.4429,76.404,India,IN,IND,Kerala,,15428.0,1356160728
30095,Jamālpur,Jamalpur,25.9549,86.36,India,IN,IND,Bihār,,15426.0,1356258329
30104,Odanāvattam,Odanavattam,8.9355,76.7713,India,IN,IND,Kerala,,15419.0,1356161445
30105,Vipparla,Vipparla,16.3023,79.9373,India,IN,IND,Andhra Pradesh,,15418.0,1356198393
30109,Buggānipalle,Bugganipalle,15.4741,78.175,India,IN,IND,Andhra Pradesh,,15416.0,1356687033
30130,Chokkanāthapuram,Chokkanathapuram,9.9921,77.3566,India,IN,IND,Tamil Nādu,,15403.0,1356241685
30135,Siladon,Siladon,23.1527,85.3657,India,IN,IND,Jhārkhand,,15400.0,1356183232
30136,Sodāg,Sodag,23.1436,85.3874,India,IN,IND,Jhārkhand,,15400.0,1356183243
30137,Lāl Khatangā,Lal Khatanga,23.2627,85.3376,India,IN,IND,Jhārkhand,,15400.0,1356178718
30138,Khijri,Khijri,22.8001,84.9474,India,IN,IND,Jhārkhand,,15400.0,1356194459
30158,Samsikāpuram,Samsikapuram,9.4156,77.5917,India,IN,IND,Tamil Nādu,,15379.0,1356205369
30160,Raspur Patasia,Raspur Patasia,25.544,85.7247,India,IN,IND,Bihār,,15374.0,1356551207
30163,Gopālnagar,Gopalnagar,24.691,87.9299,India,IN,IND,West Bengal,,15371.0,1356042822
30175,Kot Bhāi,Kot Bhai,30.2678,74.699,India,IN,IND,Punjab,,15360.0,1356036190
30179,Talaināyar Agrahāram,Talainayar Agraharam,10.5614,79.7723,India,IN,IND,Tamil Nādu,,15358.0,1356055273
30195,Kumaramputtūr,Kumaramputtur,10.9667,76.4333,India,IN,IND,Kerala,,15346.0,1356547968
30206,Semra,Semra,26.6523,85.0872,India,IN,IND,Bihār,,15338.0,1356200490
30213,Chhājli,Chhajli,30.0348,75.828,India,IN,IND,Punjab,,15335.0,1356247208
